"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-140-3p",5.82554258799994,2.18625513603802,1.78672330381812,0.0905743835965791,0.699806290104096,-9.67012687962508
"hsa-miR-130a",4.94065754199996,1.35224095893916,1.75169042529886,0.0965834536263368,0.7384609891847,-9.72594118601787
"ebv-miR-BART16",-5.77522375699991,3.51786940704563,-1.73138004733263,0.10022311639176,0.758389354964455,-9.7579389339788
"hsa-miR-9",6.85437529799987,2.55008273711027,1.72033372026665,0.102251938282934,0.765235026147873,-9.77522921254594
"hsa-miR-196a",9.02064233299985,5.11000139171103,1.71220206517538,0.103767970729219,0.765235026147873,-9.7879062645194
"hsa-miR-188-3p",3.122746531,0.744323320946768,1.70960905140168,0.104255453153661,0.765235026147873,-9.79193957329621
"hsa-miR-361-5p",5.62834396799991,5.03641215870342,1.69607314423355,0.106832281609224,0.776385096051193,-9.81292198503694
"hsa-miR-660",3.66794270799994,2.53314074294677,1.68618780441768,0.108748526637589,0.782562926980296,-9.82816878149141
"hsa-miR-193a-3p",6.03892876799988,1.98343826795818,1.67291022539625,0.111368633556647,0.791635885437144,-9.84854500529904
"hsa-miR-663",5.15827423299992,1.77713436844106,1.65433109019561,0.115125359880038,0.791635885437144,-9.87685816883479
"hsa-miR-34c-5p",8.62830133899989,3.97182084934221,1.65003272760926,0.116009719088491,0.791635885437144,-9.88337526422837
"hsa-miR-10b",6.31669688899991,3.57856541284411,1.64705220954286,0.116626330616574,0.791635885437144,-9.8878868939803
"hsa-miR-300",3.54972407399995,0.860233137684411,1.64416857969371,0.117225549702782,0.791635885437144,-9.89224610478264
"hsa-miR-641",3.97365219899995,1.90126021698479,1.64264195511518,0.117543841327281,0.791635885437144,-9.89455162196169
"hsa-miR-210",5.07512379399995,2.76851870062738,1.63974008311496,0.11815088918669,0.791635885437144,-9.89892965809081
"hsa-miR-363",5.38233682099991,2.98959152514449,1.63389261464203,0.119382225903791,0.791635885437144,-9.90773419823392
"hsa-miR-199a-5p",7.70535899699991,4.39080708109506,1.6323161328955,0.119716053519786,0.791635885437144,-9.91010389838173
"hsv1-miR-H1",5.11729798299992,2.52044534745627,1.62422996732686,0.121440811637154,0.795871033407775,-9.92223183306833
"hsa-miR-379",5.15827423299993,2.68202110404183,1.61539434556743,0.123349449358501,0.801225626806547,-9.93543229649621
"hsa-miR-92b",6.76434676099991,2.42172176479848,1.60932139021198,0.124675968765889,0.802738255036512,-9.94447399201844
"hsa-miR-19a",4.56745087399996,3.52286876097338,1.59834247305896,0.127104687309927,0.811259482482492,-9.96075483819413
"hsa-let-7d",3.17689482699995,10.1338955501103,1.58116342902729,0.130984925718369,0.828818409286919,-9.98606085306479
"hsa-miR-324-5p",5.29061465399988,3.30386846582509,1.57545981472449,0.132295018937476,0.829953366667587,-9.99441681114265
"hsa-miR-199a-3p+hsa-miR-199b-3p",3.26796685999996,8.48633515713688,1.5593939069496,0.136044493200008,0.846061451148358,-10.0178300390852
"hsa-miR-579",10.2558245999998,5.86645517495818,1.55465204423256,0.137168000935497,0.846061451148358,-10.0247053916243
"hsa-miR-214",7.45705614899986,3.9571501579924,1.54923635797432,0.138460632752026,0.846917536999891,-10.0325380974405
"hsa-miR-26a",2.95304548999997,12.2917660600114,1.53971830782302,0.140757057736232,0.853848598168546,-10.0462531350295
"hsa-miR-548a-3p",3.27953750699995,1.02617182720532,1.53391136691712,0.142173622025447,0.855372447267851,-10.0545886619073
"hsa-miR-361-3p",5.69238383299992,2.82164633256654,1.52439639831018,0.144520358282742,0.856826474540674,-10.0681942329969
"hsa-miR-548b-3p",2.94681424599993,0.775203721688213,1.52082510175045,0.145409431572835,0.856826474540674,-10.0732839554989
"hsa-miR-195",6.96243849899989,3.65071633039544,1.51669073760727,0.146444342162346,0.856826474540674,-10.079164582632
"hsa-let-7a",2.72573047999997,12.0456527541445,1.51404343613795,0.147110213129211,0.856826474540674,-10.0829235167396
"hsa-miR-136",4.4403174349999,1.52097663878327,1.50935116561962,0.14829661261872,0.856826474540674,-10.0895735797409
"hsa-miR-31",5.82554258799993,3.22016314171483,1.50439018982403,0.149559551013326,0.856826474540674,-10.0965869810181
"hsa-miR-640",1.43853007399999,0.265789684212928,1.500381014322,0.150586669231263,0.856826474540674,-10.1022416525615
"hsa-miR-30b",2.59238349199997,10.0835562359848,1.48757002756681,0.153907842518444,0.864957352886289,-10.1202315802093
"hsa-miR-539",5.1172979829999,3.5979638398327,1.48579589379845,0.154372497585973,0.864957352886289,-10.1227133939857
"hsa-miR-509-3p",5.57623325699994,3.12638838385932,1.46516009572057,0.159862365576056,0.873985715175209,-10.1514093353123
"hsa-miR-23a",2.76312525299997,10.0329999373308,1.44159492323459,0.166326072952664,0.873985715175209,-10.1837903919888
"hsa-miR-454",3.27953750699996,2.84654954211407,1.44031948571569,0.166681905581587,0.873985715175209,-10.1855310798424
"kshv-miR-K12-6-3p",4.98688624699992,3.28246136339164,1.43969790827815,0.166855543210348,0.873985715175209,-10.1863789498693
"hsa-miR-601",2.23586355499996,0.559490519372624,1.43568134360779,0.167981123894815,0.873985715175209,-10.191850761656
"hsa-miR-188-5p",5.94744280799988,2.79720057142586,1.42849721042847,0.170009764954536,0.873985715175209,-10.201607365386
"hsa-miR-450b-5p",3.12274653099998,1.16323102463118,1.42789874374827,0.170179652846756,0.873985715175209,-10.2024183649163
